md=64; t=08; w=09; nthreads=01; t_sg=0.0270; t_d0=0.0000; t_d1=0.0000; t_cc=0.0000; t_of=0.0000

maxdisp = 64;  thres = 03;  winsize = 09;  nthreads = 01;  t_sg = 0.0270 ms;  t_d0 = 24410.2540 ms;  t_d1 = 24372.2760 ms;  t_cc = 1.1570 ms;  t_of = 6.4730 ms

maxdisp = 64;  thres = 08;  winsize = 09;  nthreads = 03;  t_sg = 0.0290 ms;  t_d0 = 8421.1090 ms;  t_d1 = 8433.3100 ms;  t_cc = 1.0880 ms;  t_of = 6.6630 ms

maxdisp = 64;  thres = 08;  winsize = 09;  nthreads = 03;  t_sg = 4.8300 ms;  t_d0 = 8497.4130 ms;  t_d1 = 8469.8490 ms;  t_cc = 1.4910 ms;  t_of = 2.5100 ms

maxdisp = 64;  thres = 08;  winsize = 09;  nthreads = 03;  t_sg = 76.8040 ms;  t_d0 = 25.2840 ms;  t_d1 = 62.5110 ms;  t_cc = 390981407139943.8750 ms;  t_of = -25675389325183.5078 ms

maxdisp = 64;  thres = 08;  winsize = 09;  nthreads = 03;  t_sg = 79.9380 ms;  t_d0 = 25.5680 ms;  t_d1 = 63.5740 ms;  t_cc = 390981637134224.7500 ms;  t_of = -26569198688891.0898 ms

maxdisp = 64;  thres = 08;  winsize = 09;  nthreads = 03;  t_sg = 76.4720 ms;  t_d0 = -94915655022.7200 ms;  t_d1 = -206158430.2100 ms;  t_cc = 25.2870 ms;  t_of = 62.4850 ms

maxdisp = 64;  thres = 08;  winsize = 09;  nthreads = 03;  t_sg = 76.5410 ms;  t_d0 = -94764420171.9040 ms;  t_d1 = -206158430.2100 ms;  t_cc = 25.1940 ms;  t_of = 62.0930 ms

maxdisp = 64;  thres = 08;  winsize = 09;  nthreads = 03;  t_sg = 76.9090 ms;  t_d0 = 0.0000 ms;  t_d1 = 0.0000 ms;  t_cc = 25.2630 ms;  t_of = 62.5640 ms

maxdisp = 64;  thres = 08;  winsize = 09;  nthreads = 03;  t_sg = 77.2980 ms;  t_d0 = 0.0000 ms;  t_d1 = 0.0000 ms;  t_cc = 31.0960 ms;  t_of = 62.4530 ms

maxdisp = 64;  thres = 08;  winsize = 09;  nthreads = 03;  t_sg = 4.9340 ms;  t_d0 = 8461.4130 ms;  t_d1 = 8431.9450 ms;  t_cc = 1.4680 ms;  t_of = 2.6010 ms

maxdisp = 64;  thres = 08;  winsize = 09;  nthreads = 03;  t_sg = 4.8990 ms;  t_d0 = 0.0000 ms;  t_d1 = 0.0000 ms;  t_cc = 1.3290 ms;  t_of = 2.7790 ms

maxdisp = 64;  thres = 08;  winsize = 09;  nhood = 08, nthreads = 04;  t_sg = 4.8980 ms;  t_d0 = 6537.8880 ms;  t_d1 = 6609.8340 ms;  t_cc = 1.5700 ms;  t_of = 2.7300 ms

maxdisp = 64;  thres = 08;  winsize = 09;  nhood = 11, nthreads = 04;  t_sg = 4.8830 ms;  t_d0 = 6533.1590 ms;  t_d1 = 6533.9020 ms;  t_cc = 1.5900 ms;  t_of = 2.7120 ms

